,wordstart
0,ab
1,ac
2,ad
3,ae
4,af
5,ag
6,al
7,am
8,an
9,ap
10,ar
11,as
12,at
13,av
14,aw
15,ax
16,be
17,bi
18,bl
19,br
20,bu
21,by
22,ce
23,cl
24,co
25,cr
26,cu
27,cy
28,de
29,dg
30,di
31,do
32,dr
33,du
34,dy
35,ea
36,ec
37,ed
38,ee
39,ef
40,eg
41,el
42,em
43,en
44,eo
45,ep
46,er
47,es
48,et
49,eu
50,ev
51,ex
52,fa
53,fe
54,fi
55,fl
56,fu
57,fy
58,ge
59,gl
60,gn
61,gr
62,gy
63,ia
64,ic
65,id
66,ie
67,ig
68,il
69,im
70,in
71,ir
72,is
73,it
74,ju
75,kn
76,la
77,le
78,lg
79,li
80,lu
81,ly
82,me
83,mo
84,my
85,nd
86,ne
87,nu
88,ob
89,oc
90,od
91,of
92,ol
93,on
94,oo
95,ou
96,op
97,or
98,os
99,ot
100,ov
101,ox
102,ph
103,pi
104,pl
105,po
106,pr
107,pu
108,re
109,ry
110,sc
111,se
112,sh
113,si
114,sk
115,sl
116,sn
117,sp
118,st
119,su
120,sw
121,sy
122,te
123,th
124,tr
125,tw
126,ty
127,ul
128,um
129,un
130,up
131,ur
132,us
133,ut
134,vi
135,wr
136,yl
137,zo
138,ze
