index,F5,F6
1,1071492,62178
2,1126014,63435
3,1069747,61616
4,1055886,61666
5,1012158,60295
6,988257,59944
7,1029306,59174
8,1105515,62480
9,1078331,61914
10,1061055,60242
11,1082535,59672
12,1033723,56035
13,1031677,50064
14,1043661,57670
15,1137674,60342
16,1137023,61307
17,1155253,60829
18,1090139,60286
19,1142201,62000
20,1084260,59287
21,1125989,60288
22,1133245,61276
23,1099100,59623
24,1072450,60392
25,1056531,59910
26,1099057,61951
27,1132828,63018
28,1094448,63423
29,842871,51364
30,786679,51003
31,660772,37624
