,index,words
0,2896,manly
1,-1,molar
2,2502,havoc
3,-1,impel
4,1188,condo
5,430,judge
6,248,extra
7,-1,poise
8,-1,aorta
9,709,excel
10,1679,lunar
11,164,third
12,1631,slate
13,2866,taper
14,1810,chord
15,1524,rival
16,617,usual
17,813,spoke
18,206,apply
19,2395,naive
20,1359,knock
21,3281,braid
22,3081,infer
23,-1,joust
24,844,amber
25,-1,woken
26,2994,adore
27,2440,torso
28,-1,chafe
29,3359,eject
30,93,study
31,2772,undue
32,-1,tepid
33,233,happy
34,2988,itchy
35,1558,feast
36,146,drive
37,350,prime
38,2667,axiom
39,1354,brave
40,-1,avert
41,-1,glyph
42,4,there
43,680,baker
44,-1,snarl
45,922,maple
46,-1,inane
47,2260,valet
48,1074,medal
49,1878,unite
50,2038,rainy
51,1015,spell
52,308,begin
53,3147,stale
54,402,dream
55,47,photo
56,1647,aloud
57,-1,inept
58,-1,piney
59,-1,aptly
60,2479,waltz
61,3499,libel
62,2139,sneak
63,406,carry
64,-1,flout
65,-1,foggy
66,757,fault
67,2374,mummy
68,3603,spiel
69,667,grove
70,1432,denim
71,-1,quirk
72,484,exist
73,1617,stein
74,2601,spade
75,553,catch
76,274,floor
77,390,equal
78,2422,ionic
79,260,valid
80,286,enjoy
81,-1,howdy
82,3289,vigor
83,3087,dandy
84,-1,sloth
85,-1,marxh
86,-1,bough
87,1915,sting
88,-1,twine
89,213,leave
90,-1,scorn
91,-1,scald
92,-1,usurp
93,-1,soggy
94,-1,brisk
95,996,admit
96,-1,grate
97,755,glory
98,344,saint
99,1887,recap
100,1210,alike
101,-1,trice
102,514,stick
103,3566,chute
104,-1,parer
105,554,doubt
106,3248,thyme
107,458,alpha
108,2991,booze
109,-1,tibia
110,3227,lofty
111,363,theme
112,70,class
113,-1,leery
114,-1,taunt
115,-1,whoop
116,666,inter
117,3626,gully
118,865,charm
119,2289,fungi
120,641,prize
121,1623,onset
122,305,chief
123,-1,gauze
124,-1,ruder
125,2191,irony
126,1822,clown
127,2544,needy
128,1537,woven
129,1186,merit
130,332,waste
131,571,treat
132,-1,shrug
133,-1,twang
134,561,twice
135,-1,gruel
136,114,poker
137,2687,khaki
138,-1,hunky
139,329,label
140,-1,glean
141,3334,cling
142,2096,patty
143,3597,unfit
144,2868,smear
145,872,alien
146,2316,buggy
147,2635,rhyme
148,282,youth
149,-1,coyly
150,2287,quart
151,-1,cramp
152,1613,bluff
153,1306,upset
154,3001,stomp
155,2361,motto
156,-1,cinch
157,-1,elope
158,48,power
159,-1,midge
160,-1,tryst
161,-1,aphid
162,-1,trite
163,960,angry
164,2002,flock
165,2386,wacky
166,-1,roomy
167,1792,wedge
168,792,liver
169,2567,bland
170,112,night
171,2276,madam
172,3168,berth
173,-1,stead
174,228,voice
175,-1,agape
176,3595,fluff
177,109,field
178,-1,sever
179,2469,lilac
180,-1,egret
181,3075,pinto
182,2778,hutch
183,-1,gawky
184,-1,droll
185,1058,retro
186,1913,rusty
187,-1,beady
188,-1,smite
189,2684,brink
190,1355,awful
191,-1,gloat
192,258,input
193,2017,loser
194,-1,cacao
195,1542,blown
196,2556,apron
197,3398,primo
198,-1,atone
199,1128,donor
200,991,float
201,1648,goose
202,-1,piety
203,-1,girth
204,2491,trait
205,720,flood
206,3477,gloom
207,421,depth
208,-1,froth
209,1606,peach
210,-1,showy
211,-1,creak
212,1130,manor
213,3405,atoll
214,2760,bayou
215,-1,crept
216,3379,tiara
217,592,asset
218,-1,vouch
219,200,album
220,2448,hinge
221,72,money
222,1643,scrap
223,1800,gamer
224,232,glass
225,-1,scour
226,40,being
227,-1,delve
228,673,yield
229,266,metal
230,-1,tipsy
231,-1,slung
232,-1,farce
233,2929,gecko
234,1255,shine
235,-1,canny
236,1736,midst
237,1215,badge
238,1527,homer
239,422,train
240,577,hairy
241,106,story
242,-1,forgo
243,-1,larva
244,-1,zesty
245,218,shown
246,-1,heist
247,-1,askew
248,3357,inert
249,953,olive
250,276,plant
251,1342,oxide
252,916,cargo
253,3194,foyer
254,2339,flair
255,1785,ample
256,1953,cheek
257,1158,shame
258,-1,mince
259,2077,chunk
260,309,royal
261,999,squad
262,37,black
263,2284,stair
264,1853,scare
265,-1,foray
266,1942,comma
267,1845,natal
268,3241,shawl
269,854,fewer
270,-1,trope
271,-1,snout
272,-1,lowly
273,1608,stove
274,69,shall
275,45,found
276,2350,epoxy
277,923,depot
278,744,chest
279,2789,purge
280,-1,slosh
281,3,their
282,1174,renew
283,221,allow
284,-1,saute
285,89,movie
286,2244,cater
287,2280,tease
288,-1,smelt
289,226,focus
290,42,today
291,168,watch
292,2701,lapse
293,128,month
294,415,sweet
295,-1,hoard
296,913,cloth
297,3591,brine
298,454,ahead
299,-1,mourn
300,1102,nasty
301,1894,rupee
302,2711,choke
303,2776,chant
304,1618,spill
305,1492,vivid
306,-1,bloke
307,-1,trove
308,2735,thorn
309,1,other
310,-1,tacit
311,-1,swill
312,686,dodge
313,1152,shake
314,-1,caulk
315,2281,aroma
316,-1,cynic
317,820,robin
318,528,ultra
319,2823,ulcer
320,1463,pause
321,594,humor
322,304,frame
323,1114,elder
324,650,skill
325,-1,aloft
326,-1,pleat
327,-1,shard
328,2228,moist
329,32,those
330,119,light
331,-1,wrung
332,25,could
333,2795,perky
334,369,mount
335,-1,whack
336,513,sugar
337,3307,knoll
338,-1,crimp
339,-1,wince
340,3451,prick
341,775,robot
342,82,point
343,855,proxy
344,1961,shire
345,552,solar
346,1196,panic
347,-1,tangy
348,1544,abbey
349,-1,favor 
350,449,drink
351,428,query
352,2320,gorge
353,2202,crank
354,3473,slump
